,Year,Category,Prize,Motivation,Prize_Share,Laureate_ID,Laureate_Type,Full_Name,Birth_Date,Birth_City,Birth_Country,Sex,Organization_Name,Organization_City,Organization_Country,Death_Date,Death_City,Death_Country
0,1901,Chemistry,The_Nobel_Prize_in_Chemistry_1901,"""in_recognition_of_the_extraordinary_services_he_has_rendered_by_the_discovery_of_the_laws_of_chemical_dynamics_and_osmotic_pressure_in_solutions""",1-Jan,160,Individual,Jacobus_Henricus_van_'t_Hoff,1852-08-30,Rotterdam,Netherlands,Male,Berlin_University,Berlin,Germany,3/1/1911,Berlin,Germany
1,1901,Literature,The_Nobel_Prize_in_Literature_1901,"""in_special_recognition_of_his_poetic_composition,_which_gives_evidence_of_lofty_idealism,_artistic_perfection_and_a_rare_combination_of_the_qualities_of_both_heart_and_intellect""",1-Jan,569,Individual,Sully_Prudhomme,1839-03-16,Paris,France,Male,,,,9/7/1907,Châtenay,France
2,1901,Medicine,The_Nobel_Prize_in_Physiology_or_Medicine_1901,"""for_his_work_on_serum_therapy,_especially_its_application_against_diphtheria,_by_which_he_has_opened_a_new_road_in_the_domain_of_medical_science_and_thereby_placed_in_the_hands_of_the_physician_a_victorious_weapon_against_illness_and_deaths""",1-Jan,293,Individual,Emil_Adolf_von_Behring,1854-03-15,Hansdorf_(Lawice),Prussia_(Poland),Male,Marburg_University,Marburg,Germany,3/31/1917,Marburg,Germany
3,1901,Peace,The_Nobel_Peace_Prize_1901,,2-Jan,462,Individual,Jean_Henry_Dunant,1828-05-08,Geneva,Switzerland,Male,,,,10/30/1910,Heiden,Switzerland
4,1901,Peace,The_Nobel_Peace_Prize_1901,,2-Jan,463,Individual,Frédéric_Passy,1822-05-20,Paris,France,Male,,,,6/12/1912,Paris,France
5,1901,Physics,The_Nobel_Prize_in_Physics_1901,"""in_recognition_of_the_extraordinary_services_he_has_rendered_by_the_discovery_of_the_remarkable_rays_subsequently_named_after_him""",1-Jan,1,Individual,Wilhelm_Conrad_Röntgen,1845-03-27,Lennep_(Remscheid),Prussia_(Germany),Male,Munich_University,Munich,Germany,2/10/1923,Munich,Germany
6,1902,Chemistry,The_Nobel_Prize_in_Chemistry_1902,"""in_recognition_of_the_extraordinary_services_he_has_rendered_by_his_work_on_sugar_and_purine_syntheses""",1-Jan,161,Individual,Hermann_Emil_Fischer,1852-10-09,Euskirchen,Prussia_(Germany),Male,Berlin_University,Berlin,Germany,7/15/1919,Berlin,Germany
7,1902,Literature,The_Nobel_Prize_in_Literature_1902,"""the_greatest_living_master_of_the_art_of_historical_writing,_with_special_reference_to_his_monumental_work,_<I>A_history_of_Rome</I>""",1-Jan,571,Individual,Christian_Matthias_Theodor_Mommsen,1817-11-30,Garding,Schleswig_(Germany),Male,,,,11/1/1903,Charlottenburg,Germany
8,1902,Medicine,The_Nobel_Prize_in_Physiology_or_Medicine_1902,"""for_his_work_on_malaria,_by_which_he_has_shown_how_it_enters_the_organism_and_thereby_has_laid_the_foundation_for_successful_research_on_this_disease_and_methods_of_combating_it""",1-Jan,294,Individual,Ronald_Ross,1857-05-13,Almora,India,Male,University_College,Liverpool,United_Kingdom,9/16/1932,Putney_Heath,United_Kingdom
9,1902,Peace,The_Nobel_Peace_Prize_1902,,2-Jan,464,Individual,Élie_Ducommun,1833-02-19,Geneva,Switzerland,Male,,,,12/7/1906,Bern,Switzerland
10,1902,Peace,The_Nobel_Peace_Prize_1902,,2-Jan,465,Individual,Charles_Albert_Gobat,1843-05-21,Tramelan,Switzerland,Male,,,,3/16/1914,Bern,Switzerland
11,1902,Physics,The_Nobel_Prize_in_Physics_1902,"""in_recognition_of_the_extraordinary_service_they_rendered_by_their_researches_into_the_influence_of_magnetism_upon_radiation_phenomena""",2-Jan,2,Individual,Hendrik_Antoon_Lorentz,1853-07-18,Arnhem,Netherlands,Male,Leiden_University,Leiden,Netherlands,2/4/1928,,Netherlands
12,1902,Physics,The_Nobel_Prize_in_Physics_1902,"""in_recognition_of_the_extraordinary_service_they_rendered_by_their_researches_into_the_influence_of_magnetism_upon_radiation_phenomena""",2-Jan,3,Individual,Pieter_Zeeman,1865-05-25,Zonnemaire,Netherlands,Male,Amsterdam_University,Amsterdam,Netherlands,10/9/1943,Amsterdam,Netherlands
13,1903,Chemistry,The_Nobel_Prize_in_Chemistry_1903,"""in_recognition_of_the_extraordinary_services_he_has_rendered_to_the_advancement_of_chemistry_by_his_electrolytic_theory_of_dissociation""",1-Jan,162,Individual,Svante_August_Arrhenius,1859-02-19,Vik,Sweden,Male,Stockholm_University,Stockholm,Sweden,10/2/1927,Stockholm,Sweden
14,1903,Literature,The_Nobel_Prize_in_Literature_1903,"""as_a_tribute_to_his_noble,_magnificent_and_versatile_poetry,_which_has_always_been_distinguished_by_both_the_freshness_of_its_inspiration_and_the_rare_purity_of_its_spirit""",1-Jan,572,Individual,Bjørnstjerne_Martinus_Bjørnson,1832-12-08,Kvikne,Norway,Male,,,,4/26/1910,Paris,France
15,1903,Medicine,The_Nobel_Prize_in_Physiology_or_Medicine_1903,"""in_recognition_of_his_contribution_to_the_treatment_of_diseases,_especially_lupus_vulgaris,_with_concentrated_light_radiation,_whereby_he_has_opened_a_new_avenue_for_medical_science""",1-Jan,295,Individual,Niels_Ryberg_Finsen,1860-12-15,Thorshavn,Faroe_Islands_(Denmark),Male,Finsen_Medical_Light_Institute,Copenhagen,Denmark,9/24/1904,Copenhagen,Denmark
16,1903,Peace,The_Nobel_Peace_Prize_1903,,1-Jan,466,Individual,William_Randal_Cremer,1828-03-18,Fareham,United_Kingdom,Male,,,,7/22/1908,London,United_Kingdom
17,1903,Physics,The_Nobel_Prize_in_Physics_1903,"""in_recognition_of_the_extraordinary_services_he_has_rendered_by_his_discovery_of_spontaneous_radioactivity""",2-Jan,4,Individual,Antoine_Henri_Becquerel,1852-12-15,Paris,France,Male,École_Polytechnique,Paris,France,8/25/1908,,France
18,1903,Physics,The_Nobel_Prize_in_Physics_1903,"""in_recognition_of_the_extraordinary_services_they_have_rendered_by_their_joint_researches_on_the_radiation_phenomena_discovered_by_Professor_Henri_Becquerel""",4-Jan,5,Individual,Pierre_Curie,1859-05-15,Paris,France,Male,École_municipale_de_physique_et_de_chimie_industrielles_(Municipal_School_of_Industrial_Physics_and_Chemistry),Paris,France,4/19/1906,Paris,France
19,1903,Physics,The_Nobel_Prize_in_Physics_1903,"""in_recognition_of_the_extraordinary_services_they_have_rendered_by_their_joint_researches_on_the_radiation_phenomena_discovered_by_Professor_Henri_Becquerel""",4-Jan,6,Individual,"Marie_Curie,_née_Sklodowska",1867-11-07,Warsaw,Russian_Empire_(Poland),Female,,,,7/4/1934,Sallanches,France
20,1904,Chemistry,The_Nobel_Prize_in_Chemistry_1904,"""in_recognition_of_his_services_in_the_discovery_of_the_inert_gaseous_elements_in_air,_and_his_determination_of_their_place_in_the_periodic_system""",1-Jan,163,Individual,Sir_William_Ramsay,1852-10-02,Glasgow,Scotland,Male,University_College,London,United_Kingdom,7/23/1916,High_Wycombe,United_Kingdom
21,1904,Literature,The_Nobel_Prize_in_Literature_1904,"""in_recognition_of_the_fresh_originality_and_true_inspiration_of_his_poetic_production,_which_faithfully_reflects_the_natural_scenery_and_native_spirit_of_his_people,_and,_in_addition,_his_significant_work_as_a_Proven&ccedil;al_philologist""",2-Jan,573,Individual,Frédéric_Mistral,1830-09-08,Maillane,France,Male,,,,3/25/1914,Maillane,France
22,1904,Literature,The_Nobel_Prize_in_Literature_1904,"""in_recognition_of_the_numerous_and_brilliant_compositions_which,_in_an_individual_and_original_manner,_have_revived_the_great_traditions_of_the_Spanish_drama""",2-Jan,574,Individual,José_Echegaray_y_Eizaguirre,1832-04-19,Madrid,Spain,Male,,,,9/4/1916,Madrid,Spain
23,1904,Medicine,The_Nobel_Prize_in_Physiology_or_Medicine_1904,"""in_recognition_of_his_work_on_the_physiology_of_digestion,_through_which_knowledge_on_vital_aspects_of_the_subject_has_been_transformed_and_enlarged""",1-Jan,296,Individual,Ivan_Petrovich_Pavlov,1849-09-14,Ryazan,Russia,Male,Military_Medical_Academy,St._Petersburg,Russia,2/27/1936,Leningrad,Russia
24,1904,Peace,The_Nobel_Peace_Prize_1904,,1-Jan,467,Organization,Institut_de_droit_international_(Institute_of_International_Law),,,,,,,,,,
25,1904,Physics,The_Nobel_Prize_in_Physics_1904,"""for_his_investigations_of_the_densities_of_the_most_important_gases_and_for_his_discovery_of_argon_in_connection_with_these_studies""",1-Jan,8,Individual,Lord_Rayleigh_(John_William_Strutt),1842-11-12,"Langford_Grove,_Maldon,_Essex",United_Kingdom,Male,Royal_Institution_of_Great_Britain,London,United_Kingdom,6/30/1919,,United_Kingdom
26,1905,Chemistry,The_Nobel_Prize_in_Chemistry_1905,"""in_recognition_of_his_services_in_the_advancement_of_organic_chemistry_and_the_chemical_industry,_through_his_work_on_organic_dyes_and_hydroaromatic_compounds""",1-Jan,164,Individual,Johann_Friedrich_Wilhelm_Adolf_von_Baeyer,1835-10-31,Berlin,Prussia_(Germany),Male,Munich_University,Munich,Germany,8/20/1917,Starnberg,Germany
